{'k': 10, 'reg_penalty': 10}
Step  5001 , error  1489.8995172 , delta error  0.0826756611223 , grad norm  9.08607622718
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 1.53%
[0.00074750830564784061, 0.00050960847701149426, 0.00054062788550323184]
Step  100 , error  700778.969079 , delta error  1436.99890379 , grad norm  1197.71986444
Step  200 , error  571969.142206 , delta error  1156.0832199 , grad norm  1074.36565263
Step  300 , error  467700.255898 , delta error  939.845609382 , grad norm  968.712020539
Step  400 , error  382767.072189 , delta error  766.719348395 , grad norm  874.959846997
Step  500 , error  313422.457868 , delta error  626.413822999 , grad norm  790.864736735
Step  600 , error  256744.920215 , delta error  512.161108686 , grad norm  715.114706964
Step  700 , error  210394.799802 , delta error  418.918252017 , grad norm  646.751667211
Step  800 , error  172478.146011 , delta error  342.735516736 , grad norm  584.995854937
Step  900 , error  141454.262304 , delta error  280.452081993 , grad norm  529.179219987
Step  1000 , error  116066.71407 , delta error  229.512729612 , grad norm  478.714950673
Step  1100 , error  95289.5040529 , delta error  187.841181445 , grad norm  433.080994338
Step  1200 , error  78284.1580533 , delta error  153.745664482 , grad norm  391.809762441
Step  1300 , error  64365.1240602 , delta error  125.845569745 , grad norm  354.480915664
Step  1400 , error  52971.7053753 , delta error  103.013203233 , grad norm  320.715840046
Step  1500 , error  43645.2186197 , delta error  84.3269271936 , grad norm  290.173113653
Step  1600 , error  36010.3712896 , delta error  69.0331918457 , grad norm  262.544593301
Step  1700 , error  29760.0648673 , delta error  56.5156656385 , grad norm  237.551950308
Step  1800 , error  24642.9849047 , delta error  46.2701088417 , grad norm  214.943600139
Step  1900 , error  20453.4600828 , delta error  37.8839118394 , grad norm  194.492005785
Step  2000 , error  17023.1698115 , delta error  31.019415273 , grad norm  175.991318657
Step  2100 , error  14214.3598352 , delta error  25.4002915536 , grad norm  159.255300069
Step  2200 , error  11914.290024 , delta error  20.8004089645 , grad norm  144.115465708
Step  2300 , error  10030.6902502 , delta error  17.0347172053 , grad norm  130.419410325
Step  2400 , error  8488.04151767 , delta error  13.9517851417 , grad norm  118.029286285
Step  2500 , error  7224.53273411 , delta error  11.4276918113 , grad norm  106.820420281
Step  2600 , error  6189.57053972 , delta error  9.36102640528 , grad norm  96.6800571023
Step  2700 , error  5341.74174847 , delta error  7.66879674244 , grad norm  87.5062206963
Step  2800 , error  4647.14613749 , delta error  6.28308159076 , grad norm  79.2066829339
Step  2900 , error  4078.03224481 , delta error  5.14829175761 , grad norm  71.6980306644
Step  3000 , error  3611.68107224 , delta error  4.21892926276 , grad norm  64.9048220369
Step  3100 , error  3229.49261232 , delta error  3.4577539809 , grad norm  58.7588236718
Step  3200 , error  2916.23832045 , delta error  2.8342836133 , grad norm  53.1983209564
Step  3300 , error  2659.44936354 , delta error  2.32356634123 , grad norm  48.1674944431
Step  3400 , error  2448.91596488 , delta error  1.90517655562 , grad norm  43.6158559928
Step  3500 , error  2276.27765482 , delta error  1.56239308827 , grad norm  39.4977389241
Step  3600 , error  2134.68790839 , delta error  1.2815267559 , grad norm  35.7718369795
Step  3700 , error  2018.53965518 , delta error  1.0513700681 , grad norm  32.400787428
Step  3800 , error  1923.24060367 , delta error  0.862746890425 , grad norm  29.3507940706
Step  3900 , error  1845.02933248 , delta error  0.708143893636 , grad norm  26.5912863265
Step  4000 , error  1780.82474528 , delta error  0.581408925295 , grad norm  24.0946109426
Step  4100 , error  1728.10283172 , delta error  0.477504142709 , grad norm  21.8357532017
Step  4200 , error  1684.79577726 , delta error  0.392303957767 , grad norm  19.7920848033
Step  4300 , error  1649.20936533 , delta error  0.322429652982 , grad norm  17.943135863
Step  4400 , error  1619.95535232 , delta error  0.265114008017 , grad norm  16.2703887166
