{'k': 10, 'reg_penalty': 10}
Step  4500 , error  1062.46459859 , delta error  2.10074669602 , grad norm  45.7995208432
Step  4600 , error  872.263796546 , delta error  1.71977471507 , grad norm  41.4390575415
Step  4700 , error  716.556050758 , delta error  1.40789230801 , grad norm  37.4937438434
Step  4800 , error  589.08601807 , delta error  1.15257002107 , grad norm  33.9240542848
Step  4900 , error  484.732767153 , delta error  0.943550628651 , grad norm  30.6942265375
Step  5000 , error  399.30405187 , delta error  0.772437062341 , grad norm  27.7719031275
Step  5001 , error  399.30405187 , delta error  0.772437062341 , grad norm  27.7719031275
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 55.61%
[0.0]
Step  100 , error  6990210.16692 , delta error  14005.0802296 , grad norm  3739.52720068
Step  200 , error  5722263.19905 , delta error  11464.0502838 , grad norm  3383.31926951
Step  300 , error  4684355.13248 , delta error  9384.2789647 , grad norm  3061.07823216
Step  400 , error  3834733.32592 , delta error  7681.94898022 , grad norm  2769.55317776
Step  500 , error  3139230.14057 , delta error  6288.5095652 , grad norm  2505.80851674
Step  600 , error  2569882.27819 , delta error  5147.88066722 , grad norm  2267.19183123
Step  700 , error  2103802.57653 , delta error  4214.17583331 , grad norm  2051.3056211
Step  800 , error  1722257.60291 , delta error  3449.84450185 , grad norm  1855.98222649
Step  900 , error  1409913.23445 , delta error  2824.15485127 , grad norm  1679.26142929
Step  1000 , error  1154217.47916 , delta error  2311.95391258 , grad norm  1519.37036651
Step  1100 , error  944895.484139 , delta error  1892.653799 , grad norm  1374.70546906
Step  1200 , error  773536.286948 , delta error  1549.40254679 , grad norm  1243.81619266
Step  1300 , error  633254.612116 , delta error  1268.40579336 , grad norm  1125.39034534
Step  1400 , error  518414.066226 , delta error  1038.37176149 , grad norm  1018.24084353
Step  1500 , error  424400.573541 , delta error  850.057079888 , grad norm  921.293750639
Step  1600 , error  347436.926268 , delta error  695.895086578 , grad norm  833.577469022
Step  1700 , error  284430.983873 , delta error  569.691614968 , grad norm  754.212971285
Step  1800 , error  232851.413077 , delta error  466.375997913 , grad norm  682.404968729
Step  1900 , error  190625.970066 , delta error  381.797259057 , grad norm  617.433925702
Step  2000 , error  156058.234313 , delta error  312.557285739 , grad norm  558.64883785
Step  2100 , error  127759.446082 , delta error  255.874269728 , grad norm  505.460700508
Step  2200 , error  104592.707467 , delta error  209.470922085 , grad norm  457.33660082
Step  2300 , error  85627.3040683 , delta error  171.482966289 , grad norm  413.794373682
Step  2400 , error  70101.3114548 , delta error  140.384230153 , grad norm  374.397767458
Step  2500 , error  57390.9836248 , delta error  114.925325017 , grad norm  338.75207068
Step  2600 , error  46985.6933311 , delta error  94.0834472594 , grad norm  306.500155631
Step  2700 , error  38467.4172927 , delta error  77.0212845245 , grad norm  277.318899012
Step  2800 , error  31493.9419775 , delta error  63.0533751175 , grad norm  250.915943651
Step  2900 , error  25785.1151622 , delta error  51.6185686776 , grad norm  227.026768748
Step  3000 , error  21111.5908736 , delta error  42.2574814826 , grad norm  205.412039193
Step  3100 , error  17285.6155038 , delta error  34.5940404897 , grad norm  185.855207379
Step  3200 , error  14153.4849124 , delta error  28.3203745386 , grad norm  168.160343405
Step  3300 , error  11589.3694669 , delta error  23.1844456563 , grad norm  152.150171942
Step  3400 , error  9490.25893641 , delta error  18.9799235066 , grad norm  137.664296035
Step  3500 , error  7771.82414587 , delta error  15.5378961665 , grad norm  124.557590056
Step  3600 , error  6365.02913116 , delta error  12.7200841933 , grad norm  112.698745679
Step  3700 , error  5213.35768914 , delta error  10.4132853492 , grad norm  101.968956314
Step  3800 , error  4270.54289908 , delta error  8.52482679509 , grad norm  92.2607268015
Step  3900 , error  3498.70840022 , delta error  6.9788420431 , grad norm  83.4767964492
Step  4000 , error  2866.84675206 , delta error  5.71322309455 , grad norm  75.5291646058
Step  4100 , error  2349.57374678 , delta error  4.6771253151 , grad norm  68.3382090172
Step  4200 , error  1926.10862903 , delta error  3.82892480613 , grad norm  61.8318881257
Step  4300 , error  1579.43925434 , delta error  3.13454621112 , grad norm  55.9450193184
Step  4400 , error  1295.63864734 , delta error  2.56609377731 , grad norm  50.6186258957
Step  4500 , error  1063.30550293 , delta error  2.10073067658 , grad norm  45.7993462147
Step  4600 , error  873.106153321 , delta error  1.7197615633 , grad norm  41.4388990878
Step  4700 , error  717.399599899 , delta error  1.40788151168 , grad norm  37.493600081
Step  4800 , error  589.930545981 , delta error  1.15256115922 , grad norm  33.9239238647
Step  4900 , error  485.578098421 , delta error  0.943543355362 , grad norm  30.694108233
Step  5000 , error  400.150042453 , delta error  0.77243109343 , grad norm  27.7717958234
Step  5001 , error  400.150042453 , delta error  0.77243109343 , grad norm  27.7717958234
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 56.12%
[0.0, 0.0]
Step  100 , error  6990210.90375 , delta error  14005.0689272 , grad norm  3739.52569546
Step  200 , error  5722264.78707 , delta error  11464.044261 , grad norm  3383.31838442
Step  300 , error  4684357.12255 , delta error  9384.27665121 , grad norm  3061.0778579
Step  400 , error  3834735.42001 , delta error  7681.94898859 , grad norm  2769.55318164
Step  500 , error  3139232.16108 , delta error  6288.51087584 , grad norm  2505.80877963
Step  600 , error  2569884.13185 , delta error  5147.88259749 , grad norm  2267.19225753
Step  700 , error  2103804.22471 , delta error  4214.1779566 , grad norm  2051.30613873
Step  800 , error  1722259.04005 , delta error  3449.84656992 , grad norm  1855.98278336
Step  900 , error  1409914.47345 , delta error  2824.15673341 , grad norm  1679.2619892
Step  1000 , error  1154218.54195 , delta error  2311.95555199 , grad norm  1519.37090539
Step  1100 , error  944896.395902 , delta error  1892.65518313 , grad norm  1374.7059718
Step  1200 , error  773537.072742 , delta error  1549.40368784 , grad norm  1243.81665065
Step  1300 , error  633255.29507 , delta error  1268.40671597 , grad norm  1125.39075456
Step  1400 , error  518414.666714 , delta error  1038.37249513 , grad norm  1018.24120314
Step  1500 , error  424401.10894 , delta error  850.057654476 , grad norm  921.294061889
Step  1600 , error  347437.41105 , delta error  695.895530086 , grad norm  833.577734518
Step  1700 , error  284431.429861 , delta error  569.691952272 , grad norm  754.213194427
Step  1800 , error  232851.82978 , delta error  466.376250413 , grad norm  682.405153323
Step  1900 , error  190626.365031 , delta error  381.797444719 , grad norm  617.434075694
Step  2000 , error  156058.61345 , delta error  312.557419362 , grad norm  558.648957139
Step  2100 , error  127759.813969 , delta error  255.87436332 , grad norm  505.460792831
Step  2200 , error  104593.067601 , delta error  209.470985266 , grad norm  457.33666968
Step  2300 , error  85627.6590914 , delta error  171.483006676 , grad norm  413.794422306
Step  2400 , error  70101.6633326 , delta error  140.384253715 , grad norm  374.397798782
Step  2500 , error  57391.333796 , delta error  114.925336384 , grad norm  338.752087344
Step  2600 , error  46986.0428277 , delta error  94.0834499854 , grad norm  306.500159991
Step  2700 , error  38467.7668362 , delta error  77.0212813097 , grad norm  277.31889315
Step  2800 , error  31494.2920546 , delta error  63.0533679886 , grad norm  250.9159294
Step  2900 , error  25785.4660847 , delta error  51.6185591365 , grad norm  227.026747705
Step  3000 , error  21111.9428244 , delta error  42.2574706245 , grad norm  205.412012747
Step  3100 , error  17285.9685728 , delta error  34.5940290977 , grad norm  185.855176726
Step  3200 , error  14153.8391237 , delta error  28.3203631591 , grad norm  168.160309575
Step  3300 , error  11589.7247994 , delta error  23.1844346574 , grad norm  152.15013581
Step  3400 , error  9490.61533919 , delta error  18.9799131238 , grad norm  137.664258344
Step  3500 , error  7772.18154964 , delta error  15.5378865384 , grad norm  124.557551431
Step  3600 , error  6365.38745651 , delta error  12.7200753883 , grad norm  112.698706643
Step  3700 , error  5213.71685246 , delta error  10.4132773863 , grad norm  101.968917299
Step  3800 , error  4270.9028167 , delta error  8.52481965937 , grad norm  92.2606881629
Step  3900 , error  3499.06899113 , delta error  6.97883569734 , grad norm  83.4767584745
Step  4000 , error  2867.20793976 , delta error  5.7132174878 , grad norm  75.5291275244
Step  4100 , error  2349.9354603 , delta error  4.67712038875 , grad norm  68.338173009
Step  4200 , error  1926.47080341 , delta error  3.82892049849 , grad norm  61.8318533279
Step  4300 , error  1579.80183086 , delta error  3.13454246039 , grad norm  55.9449858321
Step  4400 , error  1296.00157334 , delta error  2.56609052367 , grad norm  50.6185937916
Step  4500 , error  1063.66873159 , delta error  2.10072786351 , grad norm  45.7993155378
Step  4600 , error  873.469643268 , delta error  1.71975913838 , grad norm  41.4388698617
Step  4700 , error  717.763314778 , delta error  1.40787942693 , grad norm  37.4935723115
Step  4800 , error  590.294454004 , delta error  1.15255937127 , grad norm  33.923897543
Step  4900 , error  485.942171908 , delta error  0.943541825337 , grad norm  30.6940833385
Step  5000 , error  400.514257393 , delta error  0.772429786752 , grad norm  27.7717723261
Step  5001 , error  400.514257393 , delta error  0.772429786752 , grad norm  27.7717723261
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 56.63%
[0.0, 0.0, 0.0]
Step  100 , error  6990218.73212 , delta error  14005.1841908 , grad norm  3739.54104164
Step  200 , error  5722263.91889 , delta error  11464.1075628 , grad norm  3383.32769461
Step  300 , error  4684351.66774 , delta error  9384.30804986 , grad norm  3061.08295659
Step  400 , error  3834727.87289 , delta error  7681.96130698 , grad norm  2769.55538605
Step  500 , error  3139223.99 , delta error  6288.5121977 , grad norm  2505.80903132
Step  600 , error  2569876.16254 , delta error  5147.87794751 , grad norm  2267.19122514
Step  700 , error  2103796.88655 , delta error  4214.17040337 , grad norm  2051.30429432
Step  800 , error  1722252.52295 , delta error  3449.83794136 , grad norm  1855.98045793
Step  900 , error  1409908.82693 , delta error  2824.14807785 , grad norm  1679.25941272
Step  1000 , error  1154213.73709 , delta error  2311.94743381 , grad norm  1519.36823558
Step  1100 , error  944892.363502 , delta error  1892.64787144 , grad norm  1374.70331482
Step  1200 , error  773533.726331 , delta error  1549.39727618 , grad norm  1243.81407598
Step  1300 , error  633252.544381 , delta error  1268.40119757 , grad norm  1125.38830569
Step  1400 , error  518412.425162 , delta error  1038.36780966 , grad norm  1018.23890529
Step  1500 , error  424399.29742 , delta error  850.053716556 , grad norm  921.291927571
Step  1600 , error  347435.959508 , delta error  695.892246233 , grad norm  833.575767513
Step  1700 , error  284430.277573 , delta error  569.689230542 , grad norm  754.211392649
Step  1800 , error  232850.924911 , delta error  466.374005496 , grad norm  682.403510865
Step  1900 , error  190625.663833 , delta error  381.795600285 , grad norm  617.432584282
Step  2000 , error  156058.079322 , delta error  312.555908753 , grad norm  558.647607155
Step  2100 , error  127759.416494 , delta error  255.873129327 , grad norm  505.459574029
Step  2200 , error  104592.781635 , delta error  209.469979403 , grad norm  457.335571674
Step  2300 , error  85627.463937 , delta error  171.482188241 , grad norm  413.793434901
Step  2400 , error  70101.5420122 , delta error  140.383588796 , grad norm  374.396912182
Step  2500 , error  57391.2724216 , delta error  114.924796883 , grad norm  338.751292287
Step  2600 , error  46986.0300652 , delta error  94.0830127342 , grad norm  306.499447819
Step  2700 , error  38467.7934532 , delta error  77.0209272728 , grad norm  277.318255841
Step  2800 , error  31494.3505431 , delta error  63.0530815747 , grad norm  250.915359571
Step  2900 , error  25785.5503473 , delta error  51.6183276058 , grad norm  227.026238599
Step  3000 , error  21112.0479152 , delta error  42.257283589 , grad norm  205.411558207
Step  3100 , error  17286.0904838 , delta error  34.5938781017 , grad norm  185.854771159
Step  3200 , error  14153.9746098 , delta error  28.3202413294 , grad norm  168.159947915
Step  3300 , error  11589.8712356 , delta error  23.1843364143 , grad norm  152.149813482
Step  3400 , error  9490.77060326 , delta error  18.9798339423 , grad norm  137.66397122
Step  3500 , error  7772.34392699 , delta error  15.5378227521 , grad norm  124.557295795
Step  3600 , error  6365.55556272 , delta error  12.7200240292 , grad norm  112.698479153
Step  3700 , error  5213.88957032 , delta error  10.4132360533 , grad norm  101.968714954
Step  3800 , error  4271.07924508 , delta error  8.52478641106 , grad norm  92.2605082702
Step  3900 , error  3499.24840356 , delta error  6.97880896524 , grad norm  83.4765986194
Step  4000 , error  2867.38975084 , delta error  5.71319600523 , grad norm  75.5289855439
Step  4100 , error  2350.11919853 , delta error  4.67710313335 , grad norm  68.3380469664
Step  4200 , error  1926.65608921 , delta error  3.82890664542 , grad norm  61.8317414903
Step  4300 , error  1579.98835877 , delta error  3.13453134455 , grad norm  55.9448866498
Step  4400 , error  1296.18909769 , delta error  2.56608160893 , grad norm  50.6185058793
Step  4500 , error  1063.85705484 , delta error  2.10072071795 , grad norm  45.7992376577
Step  4600 , error  873.658606704 , delta error  1.71975341416 , grad norm  41.4388009083
Step  4700 , error  717.952790912 , delta error  1.40787484405 , grad norm  37.4935112978
Step  4800 , error  590.484340487 , delta error  1.15255570442 , grad norm  33.9238435882
Step  4900 , error  486.132386616 , delta error  0.943538893322 , grad norm  30.6940356567
Step  5000 , error  400.704734465 , delta error  0.772427443901 , grad norm  27.7717302167
Step  5001 , error  400.704734465 , delta error  0.772427443901 , grad norm  27.7717302167
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 57.14%
[0.0, 0.0, 0.0, 0.0]
Result:  result(mean_score=0.0, std_dev=0.0, parameters={'k': 100, 'reg_penalty': 1000})
{'k': 150, 'reg_penalty': 10}
Step  100 , error  10477769.0117 , delta error  21015.4113075 , grad norm  4580.710695
Step  200 , error  8577092.0907 , delta error  17180.1310439 , grad norm  4141.78095073
Step  300 , error  7021656.05409 , delta error  14063.862045 , grad norm  3747.3681527
Step  400 , error  5748327.93122 , delta error  11513.2198415 , grad norm  3390.56808008
Step  500 , error  4705931.75279 , delta error  9425.16776074 , grad norm  3067.7404391
Step  600 , error  3852587.08718 , delta error  7715.78234878 , grad norm  2775.64579503
Step  700 , error  3154009.90212 , delta error  6316.38778675 , grad norm  2511.35694188
Step  800 , error  2582133.75942 , delta error  5170.76709278 , grad norm  2272.22601855
Step  900 , error  2113982.0 , delta error  4232.89970181 , grad norm  2055.85753667
Step  1000 , error  1730744.60597 , delta error  3465.11167542 , grad norm  1860.08431332
Step  1100 , error  1417022.5162 , delta error  2836.56175298 , grad norm  1682.94575091
Step  1200 , error  1160209.01012 , delta error  2322.00201408 , grad norm  1522.66818478
Step  1300 , error  949983.300745 , delta error  1900.76329435 , grad norm  1377.64708375
Step  1400 , error  777895.987612 , delta error  1555.92460037 , grad norm  1246.4309211
Step  1500 , error  637029.70958 , delta error  1273.6331767 , grad norm  1127.70655681
Step  1600 , error  521721.356203 , delta error  1042.54792613 , grad norm  1020.28599201
Step  1700 , error  427334.668473 , delta error  853.383828298 , grad norm  923.094373343
Step  1800 , error  350074.084235 , delta error  698.539045258 , grad norm  835.159137859
Step  1900 , error  286832.342021 , delta error  571.789713168 , grad norm  755.60019941
Step  2000 , error  235065.715686 , delta error  468.040131673 , grad norm  683.62108465
Step  2100 , error  192691.865041 , delta error  383.118286838 , grad norm  618.500932642
Step  2200 , error  158006.198986 , delta error  313.608468197 , grad norm  559.587276986
Step  2300 , error  129613.393484 , delta error  256.714237332 , grad norm  506.289534389
Step  2400 , error  106371.316991 , delta error  210.146232433 , grad norm  458.073128908
Step  2500 , error  87345.1151 , delta error  172.030298256 , grad norm  414.45418685
Step  2600 , error  71769.6142819 , delta error  140.832253184 , grad norm  374.994743414
Step  2700 , error  59018.5383951 , delta error  115.296277171 , grad norm  339.298408204
Step  2800 , error  48579.3045836 , delta error  94.3944534187 , grad norm  307.006442675
Step  2900 , error  40032.38851 , delta error  77.2854450446 , grad norm  277.794207951
Step  3000 , error  33034.4316219 , delta error  63.2806542985 , grad norm  251.367946369
Step  3100 , error  27304.412781 , delta error  51.8165112071 , grad norm  227.461864352
Step  3200 , error  22612.3291238 , delta error  42.431783282 , grad norm  205.835487866
Step  3300 , error  18769.9314129 , delta error  34.7489981975 , grad norm  186.271264876
Step  3400 , error  15623.1413939 , delta error  28.4592353274 , grad norm  168.572391868
Step  3500 , error  13045.8460752 , delta error  23.3096763669 , grad norm  152.560843788
Step  3600 , error  10934.8190859 , delta error  19.0934153614 , grad norm  138.075588754
Step  3700 , error  9205.56452551 , delta error  15.6411187244 , grad norm  124.970970592
Step  3800 , error  7788.91580232 , delta error  12.8141998175 , grad norm  113.115243804
Step  3900 , error  6628.25233681 , delta error  10.4992333392 , grad norm  102.389246944
Step  4000 , error  5677.22188645 , delta error  8.60338449871 , grad norm  92.6852016244
Step  4100 , error  4897.87662567 , delta error  7.05066871462 , grad norm  83.9056254808
Step  4200 , error  4259.14779793 , delta error  5.7788909834 , grad norm  75.9623484924
Step  4300 , error  3735.59741516 , delta error  4.73714142744 , grad norm  68.7756229728
Step  4400 , error  3306.39665937 , delta error  3.88374594908 , grad norm  62.2733184304
Step  4500 , error  2954.4897913 , delta error  3.1845892723 , grad norm  56.3901932884
Step  4600 , error  2665.90985852 , delta error  2.61174268242 , grad norm  51.0672361896
Step  4700 , error  2429.21862304 , delta error  2.1423410761 , grad norm  46.2510702794
Step  4800 , error  2235.04814147 , delta error  1.75766400281 , grad norm  41.8934144728
Step  4900 , error  2075.72553322 , delta error  1.44238361811 , grad norm  37.9505962731
Step  5000 , error  1944.96582823 , delta error  1.18394921205 , grad norm  34.3831112168
Step  5001 , error  1944.96582823 , delta error  1.18394921205 , grad norm  34.3831112168
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 57.65%
[0.00041528239202657808]
Step  100 , error  10477647.5031 , delta error  21016.4281999 , grad norm  4580.81787848
Step  200 , error  8576963.15027 , delta error  17179.8953191 , grad norm  4141.75237236
Step  300 , error  7021552.75048 , delta error  14063.6097771 , grad norm  3747.33452459
Step  400 , error  5748248.06928 , delta error  11513.0034335 , grad norm  3390.53620603
Step  500 , error  4705871.84321 , delta error  9424.98366506 , grad norm  3067.71046914
Step  600 , error  3852544.23784 , delta error  7715.6239624 , grad norm  2775.61729417
Step  700 , error  3153981.82759 , delta error  6316.2496826 , grad norm  2511.32947269
Step  800 , error  2582118.65106 , delta error  5170.6451115 , grad norm  2272.19920034
Step  900 , error  2113978.41162 , delta error  4232.79070294 , grad norm  2055.83104848
Step  1000 , error  1730751.36334 , delta error  3465.01332045 , grad norm  1860.05789436
Step  1100 , error  1417038.6458 , delta error  2836.47233403 , grad norm  1682.91920289
Step  1200 , error  1160233.6834 , delta error  2321.92031383 , grad norm  1522.64137439
Step  1300 , error  950015.791158 , delta error  1900.6884679 , grad norm  1377.61994397
Step  1400 , error  777935.638613 , delta error  1555.8560744 , grad norm  1246.40345022
Step  1500 , error  637075.911906 , delta error  1273.57056411 , grad norm  1127.6788146
Step  1600 , error  521773.532922 , delta error  1042.49095577 , grad norm  1020.25809313
Step  1700 , error  427392.266319 , delta error  853.332289296 , grad norm  923.06647816
Step  1800 , error  350136.569787 , delta error  698.492745609 , grad norm  835.131441427
Step  1900 , error  286899.201354 , delta error  571.748451445 , grad norm  755.572919441
Step  2000 , error  235136.456234 , delta error  468.003680394 , grad norm  683.59444939
Step  2100 , error  192766.018637 , delta error  383.086385405 , grad norm  618.47516951
Step  2200 , error  158083.325205 , delta error  313.580823208 , grad norm  559.56260268
Step  2300 , error  129693.082685 , delta error  256.690527973 , grad norm  506.266146928
Step  2400 , error  106453.192656 , delta error  210.126118844 , grad norm  458.051201825
Step  2500 , error  87428.8352522 , delta error  172.01343116 , grad norm  414.433865564
Step  2600 , error  71854.8719429 , delta error  140.818283424 , grad norm  374.976143585
Step  2700 , error  59105.0611303 , delta error  115.284864251 , grad norm  339.281615795
Step  2800 , error  48666.853268 , delta error  94.385272513 , grad norm  306.991515359
Step  2900 , error  40120.7554801 , delta error  77.2781922692 , grad norm  277.781177493
Step  3000 , error  33123.4383891 , delta error  63.2750502479 , grad norm  251.356821646
Step  3100 , error  27393.9074721 , delta error  51.8123029233 , grad norm  227.452634701
Step  3200 , error  22702.1837937 , delta error  42.4287448983 , grad norm  205.82812653
Step  3300 , error  18860.0393486 , delta error  34.7469305355 , grad norm  186.265732357
Step  3400 , error  15713.4144996 , delta error  28.4579647185 , grad norm  168.56863906
Step  3500 , error  13136.212404 , delta error  23.3090529449 , grad norm  152.558814821
Step  3600 , error  11025.2205604 , delta error  19.0933110334 , grad norm  138.075223491
Step  3700 , error  9295.9548697 , delta error  15.6414249856 , grad norm  124.972206778
Step  3800 , error  7879.25869498 , delta error  12.8148255383 , grad norm  113.118018871
Step  3900 , error  6718.51978338 , delta error  10.5001026142 , grad norm  102.393499498
Step  4000 , error  5767.39280022 , delta error  8.60443461947 , grad norm  92.6908726371
Step  4100 , error  4987.93560373 , delta error  7.05184830356 , grad norm  83.9126592278
Step  4200 , error  4349.08407477 , delta error  5.7801583088 , grad norm  75.9706932691
Step  4300 , error  3825.40397529 , delta error  4.73846290437 , grad norm  68.7852316241
Step  4400 , error  3396.06949062 , delta error  3.88509482357 , grad norm  62.2841487244
Step  4500 , error  3044.0272608 , delta error  3.1859444786 , grad norm  56.4022081643
Step  4600 , error  2755.3121948 , delta error  2.61308786009 , grad norm  51.0804039038
Step  4700 , error  2518.48748897 , delta error  2.14366373154 , grad norm  46.2653644717
Step  4800 , error  2324.18628443 , delta error  1.75895479923 , grad norm  41.9088141709
Step  4900 , error  2164.73650048 , delta error  1.44363577842 , grad norm  37.9670858497
Step  5000 , error  2033.8537369 , delta error  1.18515801955 , grad norm  34.4006803113
Step  5001 , error  2033.8537369 , delta error  1.18515801955 , grad norm  34.4006803113
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 58.16%
[0.00041528239202657808, 0.00053699712643678161]
Step  100 , error  10477446.7166 , delta error  21016.442134 , grad norm  4580.8182038
Step  200 , error  8576783.98886 , delta error  17179.6104746 , grad norm  4141.71794769
Step  300 , error  7021402.70346 , delta error  14063.3230219 , grad norm  3747.2962872
Step  400 , error  5748125.12069 , delta error  11512.7503152 , grad norm  3390.49892182
Step  500 , error  4705772.20815 , delta error  9424.77003648 , grad norm  3067.67569733
Step  600 , error  3852464.08079 , delta error  7715.44689973 , grad norm  2775.58544401
Step  700 , error  3153917.74012 , delta error  6316.10417327 , grad norm  2511.30054519
Step  800 , error  2582067.73385 , delta error  5170.52616102 , grad norm  2272.17306499
Step  900 , error  2113938.23646 , delta error  4232.6939152 , grad norm  2055.80754534
Step  1000 , error  1730719.90747 , delta error  3464.93496979 , grad norm  1860.0368667
Step  1100 , error  1417014.22811 , delta error  2836.40929111 , grad norm  1682.90050355
Step  1200 , error  1160214.90968 , delta error  2321.86994937 , grad norm  1522.62486411
Step  1300 , error  950001.508513 , delta error  1900.64856785 , grad norm  1377.60548816
Step  1400 , error  777924.897597 , delta error  1555.82477007 , grad norm  1246.39091563
Step  1500 , error  637067.934968 , delta error  1273.5462746 , grad norm  1127.66806582
Step  1600 , error  521767.688107 , delta error  1042.47234054 , grad norm  1020.24898893
Step  1700 , error  427388.04523 , delta error  853.318210121 , grad norm  923.058868169
Step  1800 , error  350133.568916 , delta error  698.482236941 , grad norm  835.125163863
Step  1900 , error  286897.105995 , delta error  571.740697988 , grad norm  755.567800443
Step  2000 , error  235135.026367 , delta error  467.997999931 , grad norm  683.590304243
Step  2100 , error  192765.076331 , delta error  383.082214996 , grad norm  618.471805638
Step  2200 , error  158082.743318 , delta error  313.577707073 , grad norm  559.559823985
Step  2300 , error  129692.774727 , delta error  256.688105939 , grad norm  506.263758882
Step  2400 , error  106453.103811 , delta error  210.124114792 , grad norm  458.049016725
Step  2500 , error  87428.9345671 , delta error  172.011641328 , grad norm  414.431707392
Step  2600 , error  71855.1456768 , delta error  140.816564792 , grad norm  374.97385209
Step  2700 , error  59105.5072523 , delta error  115.283123323 , grad norm  339.279049565
Step  2800 , error  48667.4770405 , delta error  94.3834548716 , grad norm  306.988553794
Step  2900 , error  40121.5660349 , delta error  77.2762731828 , grad norm  277.777721727
Step  3000 , error  33124.4461806 , delta error  63.2730265298 , grad norm  251.352794522
Step  3100 , error  27395.1224784 , delta error  51.810186117 , grad norm  227.447979982
Step  3200 , error  22703.6143321 , delta error  42.4265557725 , grad norm  205.822807521
Step  3300 , error  18861.6913791 , delta error  34.7446947986 , grad norm  186.259730128
Step  3400 , error  15715.2913009 , delta error  28.4557098156 , grad norm  168.561950426
Step  3500 , error  13138.3145224 , delta error  23.3068057751 , grad norm  152.551450223
Step  3600 , error  11027.5459469 , delta error  19.0910964241 , grad norm  138.067204881
Step  3700 , error  9298.49913836 , delta error  15.6392647634 , grad norm  124.963565596
Step  3800 , error  7882.01545037 , delta error  12.8127380559 , grad norm  113.108794161
Step  3900 , error  6721.48097717 , delta error  10.4981026114 , grad norm  102.383736205
Step  4000 , error  5770.54908931 , delta error  8.6025333171 , grad norm  92.6806200995
Step  4100 , error  4991.27669072 , delta error  7.05005365065 , grad norm  83.9019698695
Step  4200 , error  4352.59901855 , delta error  5.77847532013 , grad norm  75.9596214897
Step  4300 , error  3829.08146544 , delta error  4.73689404314 , grad norm  68.773832872
Step  4400 , error  3399.89808262 , delta error  3.88364039507 , grad norm  62.2724787407
Step  4500 , error  3047.99557235 , delta error  3.18460301277 , grad norm  56.3903223776
Step  4600 , error  2759.40906511 , delta error  2.61185646798 , grad norm  51.0683569596
Step  4700 , error  2522.70210405 , delta error  2.14253842735 , grad norm  46.2532098769
Step  4800 , error  2328.50827214 , delta error  1.75793078385 , grad norm  41.8966040367
Step  4900 , error  2169.15599921 , delta error  1.44270768352 , grad norm  37.9548707167
Step  5000 , error  2038.36144178 , delta error  1.18432011361 , grad norm  34.3885090422
Step  5001 , error  2038.36144178 , delta error  1.18432011361 , grad norm  34.3885090422
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 58.67%
[0.00041528239202657808, 0.00053699712643678161, 0.00053462603878116346]
Step  100 , error  10477233.6548 , delta error  21015.9434411 , grad norm  4580.76147936
Step  200 , error  8576635.21548 , delta error  17179.1378918 , grad norm  4141.66120215
Step  300 , error  7021289.21735 , delta error  14063.050629 , grad norm  3747.26005261
Step  400 , error  5748034.57073 , delta error  11512.553707 , grad norm  3390.46998534
Step  500 , error  4705699.1022 , delta error  9424.61403568 , grad norm  3067.65030964
Step  600 , error  3852405.15238 , delta error  7715.31747844 , grad norm  2775.56215963
Step  700 , error  3153870.74417 , delta error  6315.99376765 , grad norm  2511.27858755
Step  800 , error  2582031.03517 , delta error  5170.42978241 , grad norm  2272.15187627
Step  900 , error  2113910.62474 , delta error  4232.60793004 , grad norm  2055.78664872
Step  1000 , error  1730700.48677 , delta error  3464.85667297 , grad norm  1860.01583275
Step  1100 , error  1417002.33421 , delta error  2836.33672396 , grad norm  1682.87895433
Step  1200 , error  1160210.04153 , delta error  2321.80178292 , grad norm  1522.60248907
Step  1300 , error  950003.270657 , delta error  1900.58399607 , grad norm  1377.58206081
Step  1400 , error  777932.953338 , delta error  1555.76340138 , grad norm  1246.36630621
Step  1500 , error  637081.970424 , delta error  1273.4880235 , grad norm  1127.64224788
Step  1600 , error  521787.386874 , delta error  1042.41732443 , grad norm  1020.22203875
Step  1700 , error  427413.072886 , delta error  853.266656585 , grad norm  923.030956968
Step  1800 , error  350163.566063 , delta error  698.434406018 , grad norm  835.096543675
Step  1900 , error  286931.688193 , delta error  571.696822414 , grad norm  755.538785161
Step  2000 , error  235173.789077 , delta error  467.958244392 , grad norm  683.561248037
Step  2100 , error  192807.603004 , delta error  383.046653549 , grad norm  618.44308098
Step  2200 , error  158128.614926 , delta error  313.546316165 , grad norm  559.531801294
Step  2300 , error  129741.579354 , delta error  256.660769466 , grad norm  506.236789302
Step  2400 , error  106504.445293 , delta error  210.100637291 , grad norm  458.023418898
Step  2500 , error  87482.4395581 , delta error  171.991765633 , grad norm  414.407758518
